baker,baker_age,baker_occupation,hometown,series,episode,signature_bake,technical,result,show_stopper
Diana,69,Women's Institute (WI) Judge,"Alkington, Shropshire",5,4,Orange and Lemon Curd Pots,9,IN,Raspberry Ripple Alaska Swan
Kate,41,Furniture Restorer,"Brighton, East Sussex",5,4,Chocolate and Salted Caramel Molten Puddings,7,IN,"Pistachio, Raspberry and Chocolate Baked Alaska"
Luis,42,Graphic Designer,"Poynton, Cheshire",5,4,Pears in Puddings,2,IN,Bakewell Alaska
Martha,17,Student,"Ascot, Berkshire",5,4,Peanut Butter Chocolate Fondants,1,IN,Key Lime Baked Alaska
Nancy,60,Retired Practice Manager,"Barton-upon-Humber, Lincolnshire",5,4,Pistachio Puddings with Chocolate Sauce,4,IN,Summer Pudding Alaska
Norman,66,Retired Naval Officer,"Portknockie, Moray",5,4,Mini Sticky Toffee Puddings,8,IN,Baked Alaska with Strawberry Surprise
Iain,31,Construction Engineer,London/Belfast,5,4,"Chocolate, Lime and Raspberry Fondants",6,OUT,"Chocolate, Black Sesame Seed and Coffee Caramel Baked Alaska (not presented)"
Richard,38,Builder,"Mill Hill, London",5,4,Black Forest Chocolate Fondants,5,STAR BAKER,Tiramisu Baked Alaska
Claire,31,Speech Therapist,"Ashton upon Mersey, Trafford",5,4,NA,NA,NA,NA
Enwezor,39,Business Consultant,"Portsmouth, Hampshire",5,4,NA,NA,NA,NA
Jordan,32,IT Manager,"Sneinton, Nottingham",5,4,NA,NA,NA,NA
Chetna,35,Fashion Designer,"Broadstairs, Kent",5,5,Rice Custard Tart with Mangoes and Raspberries,2,IN,Fusion Tiered Pies
Luis,42,Graphic Designer,"Poynton, Cheshire",5,5,Tropical Manchester Tart,6,IN,Four Fruity Seasons Tower
Martha,17,Student,"Ascot, Berkshire",5,5,"Pistachio, Apricot and Honey Custard Tart",1,IN,Three Little Pigs Pie
Nancy,60,Retired Practice Manager,"Barton-upon-Humber, Lincolnshire",5,5,Chocolate Crusted Passion Fruit Tart,4,IN,Trio of Apple Pies
Richard,38,Builder,"Mill Hill, London",5,5,Fig and Orange Tart,7,IN,Three Course Autumn Pie Feast
Norman,66,Retired Naval Officer,"Portknockie, Moray",5,5,Tarte au Citron,5,OUT,Pieful Tower
Kate,41,Furniture Restorer,"Brighton, East Sussex",5,5,Rhubarb and Custard Tart,3,STAR BAKER,"Rhubarb, Prune and Apple Pies"
Diana,69,Women's Institute (WI) Judge,"Alkington, Shropshire",5,5,NA,NA,WD,NA
Claire,31,Speech Therapist,"Ashton upon Mersey, Trafford",5,5,NA,NA,NA,NA
Enwezor,39,Business Consultant,"Portsmouth, Hampshire",5,5,NA,NA,NA,NA
Iain,31,Construction Engineer,London/Belfast,5,5,NA,NA,NA,NA
Jordan,32,IT Manager,"Sneinton, Nottingham",5,5,NA,NA,NA,NA
Diana,69,Women's Institute (WI) Judge,"Alkington, Shropshire",5,6,NA,NA,IN,NA
Kate,41,Furniture Restorer,"Brighton, East Sussex",5,6,"Pecan, Chocolate and Sour Cherry Yeast Cake",6,IN,Trio of Dobos Tortes
Luis,42,Graphic Designer,"Poynton, Cheshire",5,6,Apple and Cinnamon Kugelhopf with Honeyed Apples,3,IN,The Cage on the Rocky Hill
Martha,17,Student,"Ascot, Berkshire",5,6,Dark Chocolate and Almond Liqueur Savarin,4,IN,Chess-Themed Chocolate and Salted Caramel Dobos Torte
Nancy,60,Retired Practice Manager,"Barton-upon-Humber, Lincolnshire",5,6,Rum Punch Savarin with Coconut Cream and Tropical Fruits,1,IN,Chocolate and Caramel Dobos Torte
Richard,38,Builder,"Mill Hill, London",5,6,Fruity Guglhupf with an Orange Glaze,5,IN,Sugar Forest Dobos Torte
Chetna,35,Fashion Designer,"Broadstairs, Kent",5,6,Orange Savarin with Cinnamon Cream,2,STAR BAKER,Almond Liqueur Dobos Torte with Chocolate Caramel Buttercream
Claire,31,Speech Therapist,"Ashton upon Mersey, Trafford",5,6,NA,NA,NA,NA
Enwezor,39,Business Consultant,"Portsmouth, Hampshire",5,6,NA,NA,NA,NA
Iain,31,Construction Engineer,London/Belfast,5,6,NA,NA,NA,NA
Jordan,32,IT Manager,"Sneinton, Nottingham",5,6,NA,NA,NA,NA
Norman,66,Retired Naval Officer,"Portknockie, Moray",5,6,NA,NA,NA,NA
Chetna,35,Fashion Designer,"Broadstairs, Kent",5,7,Crispy Lentil Kachori,6,IN,Chocolate and Mango & Lemon Meringue Éclairs
Diana,69,Women's Institute (WI) Judge,"Alkington, Shropshire",5,7,NA,NA,IN,NA
Luis,42,Graphic Designer,"Poynton, Cheshire",5,7,Childhood Empanadas,5,IN,"Stars and Stripes Éclairs
(Blueberry Cheesecake & Peanut Butter and Jelly Éclairs)"
Martha,17,Student,"Ascot, Berkshire",5,7,Mini Beef Wellingtons,3,IN,Rhubarb and Custard & Maple Syrup and Bacon Éclairs
Nancy,60,Retired Practice Manager,"Barton-upon-Humber, Lincolnshire",5,7,Spicy Duck Pasties,2,IN,Smoked Salmon and Horseradish & Raspberry Ripple Éclairs
Kate,41,Furniture Restorer,"Brighton, East Sussex",5,7,Spinach and Paneer Spicy Samosa,4,OUT,Neapolitan & Lemon Meringue Éclairs
Richard,38,Builder,"Mill Hill, London",5,7,Minted Lamb Pasties,1,STAR BAKER,"Stair of Éclairs
(Lavender and Blueberry & Rose and Raspberry Éclairs)"
Claire,31,Speech Therapist,"Ashton upon Mersey, Trafford",5,7,NA,NA,NA,NA
Enwezor,39,Business Consultant,"Portsmouth, Hampshire",5,7,NA,NA,NA,NA
Iain,31,Construction Engineer,London/Belfast,5,7,NA,NA,NA,NA
Jordan,32,IT Manager,"Sneinton, Nottingham",5,7,NA,NA,NA,NA
Norman,66,Retired Naval Officer,"Portknockie, Moray",5,7,NA,NA,NA,NA
Chetna,35,Fashion Designer,"Broadstairs, Kent",5,8,Date and Walnut Swirl Bread,1,IN,Chocolate Mousse Filled DoughnutsBraided Doughnuts
Diana,69,Women's Institute (WI) Judge,"Alkington, Shropshire",5,8,NA,NA,IN,NA
Luis,42,Graphic Designer,"Poynton, Cheshire",5,8,Black Forest Cherry Tree,2,IN,"Cocktail Doughnuts
(Mudslide & Raspberry Mojito)"
Nancy,60,Retired Practice Manager,"Barton-upon-Humber, Lincolnshire",5,8,Lincolnshire Plum Braid,3,IN,"Doughnut Family Tree
(Limoncello and Almond & Milk Chocolate and Orange)"
Martha,17,Student,"Ascot, Berkshire",5,8,Spiced Plum Iced Bread Swirl,5,OUT,Glazed Lemon & Poppy Seed DoughnutsChocolate & Passion Fruit Doughnuts
Richard,38,Builder,"Mill Hill, London",5,8,Fruit Swedish Tea Ring,4,STAR BAKER,Rhubarb and Custard and Toffee Apple Doughnuts
Claire,31,Speech Therapist,"Ashton upon Mersey, Trafford",5,8,NA,NA,NA,NA
Enwezor,39,Business Consultant,"Portsmouth, Hampshire",5,8,NA,NA,NA,NA
Iain,31,Construction Engineer,London/Belfast,5,8,NA,NA,NA,NA
Jordan,32,IT Manager,"Sneinton, Nottingham",5,8,NA,NA,NA,NA
Kate,41,Furniture Restorer,"Brighton, East Sussex",5,8,NA,NA,NA,NA
Norman,66,Retired Naval Officer,"Portknockie, Moray",5,8,NA,NA,NA,NA
Diana,69,Women's Institute (WI) Judge,"Alkington, Shropshire",5,9,NA,NA,IN,NA
Luis,42,Graphic Designer,"Poynton, Cheshire",5,9,Indian Rose BaklavaHalwa Baklava Rolls,1,IN,"Chocolate Mousse & Cherry EntremetsPomegranate, Fig & Pistachio Sponges"
Nancy,60,Retired Practice Manager,"Barton-upon-Humber, Lincolnshire",5,9,Coffee and Chocolate BaklavaBreakfast Baklava,3,IN,Raspberry NonnettesLime and Passion Fruit Entremets
Chetna,35,Fashion Designer,"Broadstairs, Kent",5,9,Chocolate Orange Baklava Masala Chai Baklava,4,OUT,"Chocolate, Orange & Nut EntremetsCappuccino Entremets"
Richard,38,Builder,"Mill Hill, London",5,9,Rose and Pistachio BaklavaWalnut and Almond Baklava,2,STAR BAKER,Hazelnut Mocha EntremetsPink Grapefruit Entremets
Claire,31,Speech Therapist,"Ashton upon Mersey, Trafford",5,9,NA,NA,NA,NA
Enwezor,39,Business Consultant,"Portsmouth, Hampshire",5,9,NA,NA,NA,NA
Iain,31,Construction Engineer,London/Belfast,5,9,NA,NA,NA,NA
Jordan,32,IT Manager,"Sneinton, Nottingham",5,9,NA,NA,NA,NA
Kate,41,Furniture Restorer,"Brighton, East Sussex",5,9,NA,NA,NA,NA
Martha,17,Student,"Ascot, Berkshire",5,9,NA,NA,NA,NA
Norman,66,Retired Naval Officer,"Portknockie, Moray",5,9,NA,NA,NA,NA
Diana,69,Women's Institute (WI) Judge,"Alkington, Shropshire",5,10,NA,NA,IN,NA
Luis,42,Graphic Designer,"Poynton, Cheshire",5,10,"Apple, Walnut, Raisin and Cheshire Cheese ChaussonsPain au Chocolat Blanc with Raspberries and Cream Cheese",2,Runner-up,Village in Chocolate
Richard,38,Builder,"Mill Hill, London",5,10,Pear Pain au ChocolatPain Au Lait,3,Runner-up,Mill on the Hill
Nancy,60,Retired Practice Manager,"Barton-upon-Humber, Lincolnshire",5,10,Apple and Lemon KitesRaspberry and Almond Croissants,1,WINNER,Red Windmill
Chetna,35,Fashion Designer,"Broadstairs, Kent",5,10,NA,NA,NA,NA
Claire,31,Speech Therapist,"Ashton upon Mersey, Trafford",5,10,NA,NA,NA,NA
Enwezor,39,Business Consultant,"Portsmouth, Hampshire",5,10,NA,NA,NA,NA
Iain,31,Construction Engineer,London/Belfast,5,10,NA,NA,NA,NA
Jordan,32,IT Manager,"Sneinton, Nottingham",5,10,NA,NA,NA,NA
Kate,41,Furniture Restorer,"Brighton, East Sussex",5,10,NA,NA,NA,NA
Martha,17,Student,"Ascot, Berkshire",5,10,NA,NA,NA,NA
Norman,66,Retired Naval Officer,"Portknockie, Moray",5,10,NA,NA,NA,NA
Alvin,37,Nurse,"Bracknell, Berkshire",6,1,Orange Vanilla and Fig Madeira Cake,2,IN,Black Forest Gâteau
Dorret,53,Accountant,"Penwortham, Lancashire",6,1,Madeira Cake with Candied Lemons,5,IN,Enchanted Forest Gâteau
Flora,19,Art gallery assistant,"Dunkeld, Perth and Kinross",6,1,Blood Orange Madeira Cake,6,IN,Black Forest Gâteau
Ian,41,Travel photographer,"Great Wilbraham, Cambridgeshire",6,1,Somewhere West of Madeira Cake,8,IN,Black Forest Cherry Tree
Mat,37,Fire fighter,London,6,1,Gin and Tonic Madeira Cake,7,IN,Black Forest Gateau
Nadiya,30,Full-time mother,Leeds / Luton,6,1,Orange and Green Cardamom Madeira Cake,12,IN,Quadruple Chocolate Black Forest Gâteau
Paul,49,Prison governor,"Swansea, Wales",6,1,"Lemon, Ginger and Caraway Seed Madeira Cake",10,IN,Black Forest Chocolate Creation
Sandy,49,Child welfare officer,"Yeadon, West Yorkshire",6,1,Madeira Cake with Almond Liqueur and Chopped Apricots,9,IN,Black Forest Gâteau
Tamal,29,Trainee anaesthetist,Manchester,6,1,Pistachio and Rose Madeira Cake,4,IN,Black Forest Gâteau in a Chocolate Shell
Ugnė,32,PA and administrator,"Woodford, London / Vilkaviškis, Lithuania",6,1,Lemon and Thyme Madeira Cake,1,IN,Falling Cup Gâteau
Stu,35,Professional musician,"Guildford, Surrey",6,1,Marley Madeira Cake,11,OUT,Purple Forest Gâteau
Marie,66,Retired,"Auchterarder, Perthshire",6,1,Zingy Citrus Madeira Cake,3,STAR BAKER,A Walk in the Black Forest
Alvin,37,Nurse,"Bracknell, Berkshire",6,2,"Jackfruit, Pistachio and Macadamia Biscotti",6,IN,Gingerbread Box filled with Brandy Snaps
Dorret,53,Accountant,"Penwortham, Lancashire",6,2,Almond and Apricot Biscotti with Amber Sugar Crystals,1,IN,Box of Frogs
Flora,19,Art gallery assistant,"Dunkeld, Perth and Kinross",6,2,Wedding Biscotti,2,IN,Honey and Earl Grey Tea Box
Mat,37,Fire fighter,London,6,2,"Pistachio, Cranberry and White Chocolate Biscotti",5,IN,Gingerbread Fire Engine
Nadiya,30,Full-time mother,Leeds / Luton,6,2,"Coconut, Fennel and Pistachio Biscotti",9,IN,Box of Fortunes
Paul,49,Prison governor,"Swansea, Wales",6,2,"Chocolate, Hazelnut and Fig Biscotti",10,IN,Memory Box
Sandy,49,Child welfare officer,"Yeadon, West Yorkshire",6,2,Chocolate Chunk and Hazelnut Biscotti,4,IN,Sundried Tomato Cheese Biscuit Box
Tamal,29,Trainee anaesthetist,Manchester,6,2,"Cinnamon, Maple and Cranberry Biscotti",8,IN,Chessboard Box
Ugnė,32,PA and administrator,"Woodford, London / Vilkaviškis, Lithuania",6,2,White Wine Biscotti,7,IN,Baby Climbing into the Cookie Box
Marie,66,Retired,"Auchterarder, Perthshire",6,2,Biscotti Italiano,11,OUT,Russian Box
Ian,41,Travel photographer,"Great Wilbraham, Cambridgeshire",6,2,"Orange, Rosemary and Almond Biscotti",3,STAR BAKER,Sandwich de la Confiture
Stu,35,Professional musician,"Guildford, Surrey",6,2,NA,NA,NA,NA
Alvin,37,Nurse,"Bracknell, Berkshire",6,3,"Prosciutto, Manchego and Balsamic Onion Soda Breads",4,IN,Cornucopia
Flora,19,Art gallery assistant,"Dunkeld, Perth and Kinross",6,3,Fig and Hazelnut Rye Breads,2,IN,Herb Couture
Mat,37,Fire fighter,London,6,3,"Jalapeño, Mexican Cheddar and Smoked Salt Soda Breads",8,IN,Curry Inspired Brighton Pavilion
Nadiya,30,Full-time mother,Leeds / Luton,6,3,Mexican Bread with Warm Tomato Salsa,9,IN,Snake Charmer's Basket
Paul,49,Prison governor,"Swansea, Wales",6,3,Cranberry and Orange Sweet Soda Breads,10,IN,King of the Jungle
Sandy,49,Child welfare officer,"Yeadon, West Yorkshire",6,3,Soda Breads with Smoked Bacon and Onion,7,IN,Basket of Bread Flowers with a Walnut and Blue Cheese Centre
Tamal,29,Trainee anaesthetist,Manchester,6,3,"Fig, Cheese and Walnut Breads",3,IN,Breadcycle
Ugnė,32,PA and administrator,"Woodford, London / Vilkaviškis, Lithuania",6,3,Chocolate Quick Breads with Salted Caramel Sauce,5,IN,Easter Basket
Dorret,53,Accountant,"Penwortham, Lancashire",6,3,Walnut and Stilton Soda Breads,6,OUT,Unmade Bread
Ian,41,Travel photographer,"Great Wilbraham, Cambridgeshire",6,3,Wild Garlic Pesto Soda Breads,1,STAR BAKER,Flour Power
Marie,66,Retired,"Auchterarder, Perthshire",6,3,NA,NA,NA,NA
Stu,35,Professional musician,"Guildford, Surrey",6,3,NA,NA,NA,NA
Alvin,37,Nurse,"Bracknell, Berkshire",6,4,Blackberry Crème Brûlées,9,IN,Tower of Fruits Cheesecakes
Flora,19,Art gallery assistant,"Dunkeld, Perth and Kinross",6,4,Rhubarb and Ginger Crème Brûlées,3,IN,Elderflower and Granola Cheesecakes
Mat,37,Fire fighter,London,6,4,Coconut Crème Brûlées,7,IN,Chocolate Bar Cheesecakes
Nadiya,30,Full-time mother,Leeds / Luton,6,4,Cinnamon Tea Crème Brûlées,8,IN,Fizzy Pop Cheesecakes
Paul,49,Prison governor,"Swansea, Wales",6,4,Almond Crème Brûlées,1,IN,Berry Cheesecake Tower
Tamal,29,Trainee anaesthetist,Manchester,6,4,Rhubarb and Ginger Crème Brûlées,5,IN,"Mango, Hazelnut and Rosemary Cheesecake Trio"
Ugnė,32,PA and administrator,"Woodford, London / Vilkaviškis, Lithuania",6,4,Marula Fruit and Coffee Liqueur Crème Brûlées,2,IN,"Lime, Coconut and Hazelnut Cheesecakes"
Sandy,49,Child welfare officer,"Yeadon, West Yorkshire",6,4,Pontefract Crème Brûlées,6,OUT,"Cassata, Whisky and Orange & Apple Pie Cheesecakes"
Ian,41,Travel photographer,"Great Wilbraham, Cambridgeshire",6,4,Pomegranate Two Ways Crème Brûlées,4,STAR BAKER,Trio of Spicy and Herby Baked Cheesecakes
Dorret,53,Accountant,"Penwortham, Lancashire",6,4,NA,NA,NA,NA
Marie,66,Retired,"Auchterarder, Perthshire",6,4,NA,NA,NA,NA
Stu,35,Professional musician,"Guildford, Surrey",6,4,NA,NA,NA,NA
Alvin,37,Nurse,"Bracknell, Berkshire",6,5,Pineapple Upside Down Cake,8,IN,"Buko Pandan, Mango and Passion Fruit Ice Cream Roll"
Flora,19,Art gallery assistant,"Dunkeld, Perth and Kinross",6,5,"Pistachio, Apple and Cardamom Madeleine Cake",3,IN,Chocolate and Pear Bûche
Ian,41,Travel photographer,"Great Wilbraham, Cambridgeshire",6,5,Honey and Flowers Cake,5,IN,Dessert Island
Mat,37,Fire fighter,London,6,5,Sugar Free Carrot Cake,4,IN,Raspberry and Coconut Ice Cream Roll
Paul,49,Prison governor,"Swansea, Wales",6,5,Carrot & Pecan Cake,2,IN,Dessert Island Getaway
Tamal,29,Trainee anaesthetist,Manchester,6,5,Honey and Grapefruit Polenta Cake,7,IN,Passion Fruit and Pineapple Ice Cream Roll
Ugnė,32,PA and administrator,"Woodford, London / Vilkaviškis, Lithuania",6,5,Chocolate and Hazelnut Sugar-Free Cake,6,OUT,"Chocolate, Peanut Butter and Grape Jam Roll"
Nadiya,30,Full-time mother,Leeds / Luton,6,5,Naked Blueberry and Caraway Crunch Cake,1,STAR BAKER,Chocolate and Strawberry Lime Ice Cream Roll
Dorret,53,Accountant,"Penwortham, Lancashire",6,5,NA,NA,NA,NA
Marie,66,Retired,"Auchterarder, Perthshire",6,5,NA,NA,NA,NA
Sandy,49,Child welfare officer,"Yeadon, West Yorkshire",6,5,NA,NA,NA,NA
Stu,35,Professional musician,"Guildford, Surrey",6,5,NA,NA,NA,NA
Flora,19,Art gallery assistant,"Dunkeld, Perth and Kinross",6,6,Apricot and Rosemary Frangipane Tart,2,IN,Asparagus and Parma Ham and Praline and Chocolate Vol-au-vents
Ian,41,Travel photographer,"Great Wilbraham, Cambridgeshire",6,6,Pear and Raspberry Frangipane Tart,3,IN,vol-au-vents Terre et Mer
Nadiya,30,Full-time mother,Leeds / Luton,6,6,"Bay Leaf, Rong Tea and Pear Tart",4,IN,Bengali Korma and Clementine with Cod Vol-au-vents
Paul,49,Prison governor,"Swansea, Wales",6,6,Christmas Frangipane Tart,5,IN,Savoury and Sweet Bouchées
Tamal,29,Trainee anaesthetist,Manchester,6,6,Spiced Pear Frangipane Tart,7,IN,Fennel and Rosemary Pulled Pork and Chicken and Coriander vol-au-vents
Alvin,37,Nurse,"Bracknell, Berkshire",6,6,Plum Frangipane Tart,6,OUT,Smoked Salmon En Croûte and Vermouth Chicken à la King Vol-au-vents
Mat,37,Fire fighter,London,6,6,Piña Colada Frangipane Tart,1,STAR BAKER,His 'n' Hers Vol-au-vents
Dorret,53,Accountant,"Penwortham, Lancashire",6,6,NA,NA,NA,NA
Marie,66,Retired,"Auchterarder, Perthshire",6,6,NA,NA,NA,NA
Sandy,49,Child welfare officer,"Yeadon, West Yorkshire",6,6,NA,NA,NA,NA
Stu,35,Professional musician,"Guildford, Surrey",6,6,NA,NA,NA,NA
Ugnė,32,PA and administrator,"Woodford, London / Vilkaviškis, Lithuania",6,6,NA,NA,NA,NA
Flora,19,Art gallery assistant,"Dunkeld, Perth and Kinross",6,7,Game Pie with Shallot and Apple Chutney,4,IN,"Raspberry, Pomegranate and Champagne Charlotte Russe"
Ian,41,Travel photographer,"Great Wilbraham, Cambridgeshire",6,7,Roadkill Pie,5,IN,Victoria's Crown Charlotte Russe
Nadiya,30,Full-time mother,Leeds / Luton,6,7,Aromatic Raised Game Pie,1,IN,Mango and Raspberry Charlotte Russe
Paul,49,Prison governor,"Swansea, Wales",6,7,Not a Boaring Pie,2,IN,Charlotte Rose
Mat,37,Fire fighter,London,6,7,Raised Venison and Pigeon Pie,6,OUT,Strawberry Charlotte Russe
Tamal,29,Trainee anaesthetist,Manchester,6,7,Middle Eastern Game Pie,3,STAR BAKER,"Spiced Blackberry, Raspberry and Cardamom Charlotte Russe"
Alvin,37,Nurse,"Bracknell, Berkshire",6,7,NA,NA,NA,NA
Dorret,53,Accountant,"Penwortham, Lancashire",6,7,NA,NA,NA,NA
Marie,66,Retired,"Auchterarder, Perthshire",6,7,NA,NA,NA,NA
Sandy,49,Child welfare officer,"Yeadon, West Yorkshire",6,7,NA,NA,NA,NA
Stu,35,Professional musician,"Guildford, Surrey",6,7,NA,NA,NA,NA
Ugnė,32,PA and administrator,"Woodford, London / Vilkaviškis, Lithuania",6,7,NA,NA,NA,NA
Flora,19,Art gallery assistant,"Dunkeld, Perth and Kinross",6,8,Peach & Lemon Thyme and Smoked Almond & Butterscotch Cream Horns,3,IN,Lime & Basil and Coconut & White Chocolate Religieuse à l'ancienne
Ian,41,Travel photographer,"Great Wilbraham, Cambridgeshire",6,8,Mont Blanc & Black Forest Gâteau Horns,2,IN,Nun with Hidden Passions
Tamal,29,Trainee anaesthetist,Manchester,6,8,Lime & Mascarpone and Malt Cream Horns,4,IN,Passionfruit & Mango and Pistachio & Raspberry Religieuse à l'ancienne
Paul,49,Prison governor,"Swansea, Wales",6,8,Café Tipple & Banana Crunch-away Horns,5,OUT,Religieuse à l'ancienne
Nadiya,30,Full-time mother,Leeds / Luton,6,8,Rose Pistachio and Mocha Hazelnut Horns,1,STAR BAKER,Bubble Gum and Peppermint Cream Religieuse à l'ancienne
Alvin,37,Nurse,"Bracknell, Berkshire",6,8,NA,NA,NA,NA
Dorret,53,Accountant,"Penwortham, Lancashire",6,8,NA,NA,NA,NA
Marie,66,Retired,"Auchterarder, Perthshire",6,8,NA,NA,NA,NA
Mat,37,Fire fighter,London,6,8,NA,NA,NA,NA
Sandy,49,Child welfare officer,"Yeadon, West Yorkshire",6,8,NA,NA,NA,NA
Stu,35,Professional musician,"Guildford, Surrey",6,8,NA,NA,NA,NA
Ugnė,32,PA and administrator,"Woodford, London / Vilkaviškis, Lithuania",6,8,NA,NA,NA,NA
Ian,41,Travel photographer,"Great Wilbraham, Cambridgeshire",6,9,Chocolate and Bay Tart,3,IN,Chocolate Well
Tamal,29,Trainee anaesthetist,Manchester,6,9,Chocolate New York Pie,2,IN,Chocolate Bell Tower
